id,Name,ha_,xcoord,ycoord
"1",Zeche Rheinelbe,,7.11213493622132,51.4908601275511
"2",Zeche Alma,,7.1316864306381,51.5090855673268
"3",Zeche Graf Bismarck,,7.09786026946581,51.5390916122587
"4",Chemische Schalke,,7.09318123240082,51.5348806825276
"5",Emscher-Lippe 3/4,,7.35071837287641,51.6494114372131
"6",Constantin 10,,7.25579547195929,51.5189114607432
"7",Zeche Zollverein,,7.03951383738468,51.4879214068596
"8",Kokerei Hansa,,7.40993998510795,51.543867843136
"9",König Ludwig 1/2,,7.24093990711138,51.5817444502295
"10",Victor 3/4,,7.32897766641822,51.5854509878637
"11",Zeche Waltrop,,7.41791100046768,51.620690474295
"14",Ewald-Fortsetzung,,7.26709790641121,51.6457005433696
"15",General Blumenthal 11,,7.17567937808844,51.5284420755449
"16",Hafen Minister Achenbach,,7.41291544599305,51.5794421468985
"17",Mathias Stinnes,,7.0054388201957,51.5423615634176
